planetName,hostName,defaultParameterSet,starsNu,planetsNu,discMethod,discYear,discFacility,solutionType
KMT-2023-BLG-0416L b,KMT-2023-BLG-0416L,1,1,1,Microlensing,2024,KMTNet,Published Confirmed
KMT-2023-BLG-0416L b,KMT-2023-BLG-0416L,0,1,1,Microlensing,2024,KMTNet,Published Confirmed
KMT-2023-BLG-0416L b,KMT-2023-BLG-0416L,0,1,1,Microlensing,2024,KMTNet,Published Confirmed
KMT-2023-BLG-0416L b,KMT-2023-BLG-0416L,0,1,1,Microlensing,2024,KMTNet,Published Confirmed
KMT-2023-BLG-0469L b,KMT-2023-BLG-0469L,0,1,1,Microlensing,2024,KMTNet,Published Confirmed
KMT-2023-BLG-0469L b,KMT-2023-BLG-0469L,1,1,1,Microlensing,2024,KMTNet,Published Confirmed
KMT-2023-BLG-0469L b,KMT-2023-BLG-0469L,0,1,1,Microlensing,2024,KMTNet,Published Confirmed
KMT-2023-BLG-0735L b,KMT-2023-BLG-0735L,0,1,1,Microlensing,2024,KMTNet,Published Confirmed
KMT-2023-BLG-0735L b,KMT-2023-BLG-0735L,1,1,1,Microlensing,2024,KMTNet,Published Confirmed
KMT-2023-BLG-1431L b,KMT-2023-BLG-1431L,1,1,1,Microlensing,2024,KMTNet,Published Confirmed
KMT-2023-BLG-1431L b,KMT-2023-BLG-1431L,0,1,1,Microlensing,2024,KMTNet,Published Confirmed
KMT-2023-BLG-1454L b,KMT-2023-BLG-1454L,1,1,1,Microlensing,2024,KMTNet,Published Confirmed
KMT-2023-BLG-1454L b,KMT-2023-BLG-1454L,0,1,1,Microlensing,2024,KMTNet,Published Confirmed
KMT-2023-BLG-1454L b,KMT-2023-BLG-1454L,0,1,1,Microlensing,2024,KMTNet,Published Confirmed
KMT-2023-BLG-1454L b,KMT-2023-BLG-1454L,0,1,1,Microlensing,2024,KMTNet,Published Confirmed
KMT-2023-BLG-1642L b,KMT-2023-BLG-1642L,1,1,1,Microlensing,2024,KMTNet,Published Confirmed
KMT-2023-BLG-1642L b,KMT-2023-BLG-1642L,0,1,1,Microlensing,2024,KMTNet,Published Confirmed
LHS 1678 d,LHS 1678,0,2,3,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
LHS 1678 d,LHS 1678,1,2,3,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
M62H b,M62H,1,1,1,Pulsar Timing,2024,South African Radio Astronomy Observatory (SAR,Published Confirmed
MOA-2022-BLG-563L b,MOA-2022-BLG-563L,0,1,1,Microlensing,2024,MOA,Published Confirmed
MOA-2022-BLG-563L b,MOA-2022-BLG-563L,1,1,1,Microlensing,2024,MOA,Published Confirmed
NGC 2682 Sand 1429 b,NGC 2682 Sand 1429,1,1,1,Radial Velocity,2024,Multiple Observatories,Published Confirmed
NGTS-26 b,NGTS-26,1,1,1,Transit,2024,Next-Generation Transit Survey (NGTS),Published Confirmed
NGTS-27 b,NGTS-27,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
NGTS-27 b,NGTS-27,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
NGTS-30 b,NGTS-30,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
NGTS-30 b,NGTS-30,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
OGLE-2014-BLG-0221L b,OGLE-2014-BLG-0221L,0,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2014-BLG-0221L b,OGLE-2014-BLG-0221L,1,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2014-BLG-0221L b,OGLE-2014-BLG-0221L,0,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2017-BLG-0448L b,OGLE-2017-BLG-0448L,0,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2017-BLG-0448L b,OGLE-2017-BLG-0448L,0,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2017-BLG-0448L b,OGLE-2017-BLG-0448L,0,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2017-BLG-0448L b,OGLE-2017-BLG-0448L,0,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2017-BLG-0448L b,OGLE-2017-BLG-0448L,1,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2017-BLG-0448L b,OGLE-2017-BLG-0448L,0,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2017-BLG-0448L b,OGLE-2017-BLG-0448L,0,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2017-BLG-0448L b,OGLE-2017-BLG-0448L,0,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2017-BLG-0640L b,OGLE-2017-BLG-0640L,1,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2017-BLG-1237L b,OGLE-2017-BLG-1237L,1,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2017-BLG-1275L b,OGLE-2017-BLG-1275L,1,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2017-BLG-1275L b,OGLE-2017-BLG-1275L,0,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2017-BLG-1275L b,OGLE-2017-BLG-1275L,0,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2017-BLG-1275L b,OGLE-2017-BLG-1275L,0,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2017-BLG-1275L b,OGLE-2017-BLG-1275L,0,1,1,Microlensing,2024,OGLE,Published Confirmed
OGLE-2023-BLG-0836L b,OGLE-2023-BLG-0836L,1,2,1,Microlensing,2024,OGLE,Published Confirmed
SPECULOOS-3 b,SPECULOOS-3,1,1,1,Transit,2024,SPECULOOS Southern Observatory,Published Confirmed
TIC 139270665 b,TIC 139270665,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TIC 139270665 c,TIC 139270665,1,1,2,Radial Velocity,2024,Lick Observatory,Published Confirmed
